"id","name","type","email","mobile","address","latitude","longitude","network_id","open_time","close_time","ratings","thumbnail","street","landmark","state","country","pin","city","approved_status","address2","location_id","vendor_id","advance","threshold_time","status","created_at","updated_at","created_by","updated_by","station_url","verified","elevation","station_updated","user_type","feedback","brand_id","reactivate_time","reactivate_date","reason","approved_by","approved_at"
5483,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Bosch Brand Store,11.262546,75.776959,16,"00:00:00","23:59:59",0.0,,Kannur Rd,"",Kerala,India,"673001",Kozhikode,APPROVED,"Next To CITY HALL, Amalapuri",,,10,10,1,"2024-05-22 01:53:49",,,,,1,36.43,0,,,,,,,,
5484,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Nexus Centre City, Hyder Ali Road",12.3183626,76.6657452,16,"00:00:00","23:59:59",0.0,,"Hyderali Road, Nazarbad Mohalla","",Karnataka,India,"570010",Mysuru,APPROVED,Nexus Centre City,,,10,10,1,"2024-05-22 01:53:49",,,,,1,778.483,0,,,,,,,,
5485,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","The Rove, Kodagu",12.301087,75.676773,16,"00:00:00","23:59:59",0.0,,Napoklu Main Road,"",Karnataka,India,"571214",Napoklu,APPROVED,The Rove Block No. 1,,,10,10,1,"2024-05-22 01:53:50",,,,,1,,0,,,,,,,,
5486,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Hotel Aadrika, Chikkamagaluru",13.3173044,75.76857,16,"00:00:00","23:59:59",0.0,,Milan Theatre Road,"",Karnataka,India,"577101",Chikkamagaluru,APPROVED,Opp. Kuvempu Kala Mandir,,,10,10,1,"2024-05-22 01:53:50",,,,,1,1026.0,0,,,,,,,,
5487,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Concorde Hillcrest, Chikkaballapur",13.5230241,77.7621379,16,"00:00:00","23:59:59",0.0,,Tadipatri- Bangalore Road,"",Karnataka,India,"562104",Bangalore,APPROVED,"Amani Poornasagarakere, Hirenagavalli",,,10,10,1,"2024-05-22 01:53:51",,,,,1,930.0,0,,,,,,,,
5488,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Jio-bp Mobility Station, Hosur 1",12.6710187,77.9799592,16,"00:00:00","23:59:59",0.0,,KRISHNAGIRI ROAD,"",Tamil Nadu,India,"635117",Hosur,APPROVED,"SURVEY NO 322/1B, 2B, 3B, VILLAGE NALLAGANAKOTHAPALLI",,,10,10,1,"2024-05-22 01:53:51",,,,,1,754.119,0,,,,,,,,
5489,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Jio-bp Mobility Station, Hosur 2",12.6878272,77.9268381,16,"00:00:00","23:59:59",0.0,,"KAMANDODDI VILLAGE, HOSUR TALUK, KRISHNAGIRI DIST. ","",Tamil Nadu,India,"635109",Hosur,APPROVED,"S. NO. 1224/1 & 2, 256/1, 257/1, NH 7",,,10,10,1,"2024-05-22 01:53:51",,,,,1,776.283,0,,,,,,,,
5490,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Eagleton Golf Resort, Bangalore",12.800302,77.4106561,16,"00:00:00","23:59:59",0.0,,"Bidadi, Mysore Rd Chikkakuntanahalli","",Karnataka,India,"562109",Bangalore,APPROVED,"Off Bangalore – Mysore Highway, Shyanamangala Cross",,,10,10,1,"2024-05-22 01:53:52",,,,,1,760.13,0,,,,,,,,
5491,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Jio-bp Mobility Station, Nelamanagala",13.0864771,77.4084566,16,"00:00:00","23:59:59",0.0,,"3CP5+H9W, Vijaya Vittala Nagar","",Karnataka,India,"562123",Bangalore,APPROVED,,,,10,10,1,"2024-05-22 01:53:52",,,,,1,904.539,0,,,,,,,,
5492,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Masala Suruchi,13.0595636,77.1631723,16,"00:00:00","23:59:59",0.0,,NH-75 BANGALORE-MANGALORE HIGHWAY HOBLI KUDUR,"",Karnataka,India,"562127",Bangalore,APPROVED,SY NO 266/10 MARUR HANDPOST,,,10,10,1,"2024-05-22 01:53:52",,,,,1,860.487,0,,,,,,,,
5493,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Jio-bp Mobility Station, Nijagal Dabbaspet",13.2484661,77.2244142,16,"00:00:00","23:59:59",0.0,,DABBASPET POST  TALUK BANGALORE (RURAL),"",Karnataka,India,"562111",Nijagal,APPROVED,NH 4 KASABA NIJAGAL,,,10,10,1,"2024-05-22 01:53:53",,,,,1,914.181,0,,,,,,,,
5494,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Jio-bp Mobility Station, Devanhalli",13.1647585,77.6293795,16,"00:00:00","23:59:59",0.0,,"North, Jala Hobli","",Karnataka,India,"562157",Bangalore,APPROVED,Sy.No.10/2 Of Kadiganahalli Village Bettahalsur Post,,,10,10,1,"2024-05-22 01:53:53",,,,,1,938.629,0,,,,,,,,
5495,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Kannur Hub Station, Chikkagubbi",13.088126,77.659492,16,"00:00:00","23:59:59",0.0,,Nadagowdagollahalli,"",Karnataka,India,"562149",Chikkagubbi Village,APPROVED,"A-01, Alanoville, Chikkagubbi Village,",,,10,10,1,"2024-05-22 01:53:53",,,,,1,924.864,0,,,,,,,,
5496,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Orion Uptown Mall, Sannatammanahalli",13.0554719,77.7637779,16,"00:00:00","23:59:59",0.0,,"7, Old Madras Rd, Sannatammanahalli,, Bendiganahalli","",Karnataka,India,"562129",Bangalore,APPROVED,"Orion Uptown mall, Huskur",,,10,10,1,"2024-05-22 01:54:11",,,,,1,878.0,0,,,,,,,,
5497,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Pratham Motors Yamare,12.874347,77.766161,16,"00:00:00","23:59:59",0.0,,"Sarjapura Main Road Yamare, Sarjapura","",Karnataka,India,"562125",Bangalore,APPROVED,Yamare Village Near Prestige City Dommasandra,,,10,10,1,"2024-05-22 01:54:12",,,,,1,906.05,0,,,,,,,,
5498,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Jio-bp Mobility Station, Chandapura",12.7924106,77.7278528,16,"00:00:00","23:59:59",0.0,,"Neraluru Village, Anekal Taluk Bangalore Urban, Anekal","",Karnataka,India,"562107",Bangalore,APPROVED,"Reliance BP Mobility Limted, Survey No 73, ",,,10,10,1,"2024-05-22 01:54:12",,,,,1,899.0,0,,,,,,,,
5499,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Orion Brigade Gateway, Rajaji Nagar",13.011053,77.554939,16,"00:00:12",,0.0,,Rajajinagar,"",Karnataka,India,"560055",Bangalore,APPROVED,"Orion Brigade, Dr Rajkumar Rd",,,10,10,1,"2024-05-22 01:54:13",,,,,1,950.098,0,,,,,,,,
5500,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Orion Avenue Mall, Maruthi Sevanagar",13.0009375,77.6325625,16,"00:00:00","23:59:59",0.0,,"Dodda Banaswadi, Main Rd, Jaibharath Nagar,  Sathya Nagar, Maruthi Sevanagar,","",Karnataka,India,"560033",Bangalore,APPROVED,"Orion Avenue mall, Banaswadi, 10/34",,,10,10,1,"2024-05-22 01:54:13",,,,,1,936.936,0,,,,,,,,
5501,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Whitefield Hub,12.988835,77.718664,16,"00:00:00","23:59:59",0.0,,"Nagar Main Rd, Seetharampalya, Hoodi","",Karnataka,India,"560048",Bangalore,APPROVED,"Satyasri Layout, 31, Basavanna ",,,10,10,1,"2024-05-22 01:54:13",,,,,1,890.0,0,,,,,,,,
5502,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Nexus Mall Shantiniketan, Whitefield",12.989545,77.7281033,16,"00:00:00","23:59:59",0.0,,"Whitefield Main Rd, Thigalarapalya, Krishnarajapura","",Karnataka,India,"560067",Bangalore,APPROVED,"Forum Shantiniketan Mall, Prestige Shantiniketan, ",,,10,10,1,"2024-05-22 01:54:28",,,,,1,889.0,0,,,,,,,,
5503,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Nexus Whitefield, Neighbourhood Mall",12.9596622,77.7479528,16,"00:00:00","23:59:59",0.0,,"No.62, Whitefield Main Rd,","",Karnataka,India,"560066",Bangalore,APPROVED," Prestige Ozone, Whitefield,",,,10,10,1,"2024-05-22 01:54:29","2025-03-31 11:11:29",,,,1,896.991,0,,,,,,,,
5504,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Siddhapura 2,12.957211,77.729611,16,"00:00:00","23:59:59",0.0,,"Whitefield, Phase 1, Siddapura, Brookefield,","",Karnataka,India,"560066",Bangalore,APPROVED,"269, Siddhapura Main Rd",,,10,10,1,"2024-05-22 01:54:29","2025-03-31 11:23:48",,,,1,903.118,0,,,,,,,,
5505,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Varthur Hub,12.9397075,77.7344459,16,"00:00:00","23:59:59",0.0,,"Balagere Rd, Devasthanagalu, Varthur","",Karnataka,India,"560087",Bangalore,APPROVED,"OPP To EuroKid , Survey No 13, 3",,,10,10,1,"2024-05-22 01:54:44","2025-03-31 11:23:48",,,,1,892.12,0,,,,,,,,
5506,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Marathahalli Hub, Bangalore",12.951788,77.702133,16,"00:00:13",,0.0,,"MSR Layout, Chandra Layout, Marathahalli","",Karnataka,India,"560037",Bangalore,APPROVED,Near Mahindra Sireesh Auto Servise Center 1st Main,,,10,10,1,"2024-05-22 01:54:57","2025-03-31 11:11:29",,,,1,902.626,0,,,,,,,,
5507,Jio-BP Pulse Charging station,PRIVATE,evsupport.rbml@jiobp.com,"18008919026","Featherlite The Address, Marathalli-Sarjapur Outer Ring Rd",12.937478,77.6926571,16,"00:00:00","23:59:59",0.0,,"Chandana, Kadabeesanahalli","",Karnataka,India,"560103",Bangalore,APPROVED,Marathahalli - Sarjapur Outer Ring Rd,,,10,10,1,"2024-05-22 01:55:07","2025-03-31 11:23:48",,,,1,898.806,0,,,,,,,,
5508,Jio-BP Pulse Charging station,PRIVATE,evsupport.rbml@jiobp.com,"18008919026",Goldman Sach’s Blr,12.9366508,77.6887378,16,"00:00:00","23:59:59",0.0,,"Service Rd, Chandana, Kadabeesanahalli","",Karnataka,India,"560103",Bangalore,APPROVED,New Horizon College Bus Stop,,,10,10,1,"2024-05-22 01:55:08","2025-03-31 11:11:29",,,,1,902.609,0,,,,,,,,
5509,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",The Big Pitcher,12.9096326,77.6886686,16,"00:00:00","23:59:59",0.0,,"Sarjapur Rd, Kaikondrahalli","",Karnataka,India,"560035",Bangalore,APPROVED,"Doddakannelli, 116/9, Ambalipura",,,10,10,1,"2024-05-22 01:55:08","2025-03-31 11:23:48",,,,1,902.706,0,,,,,,,,
5510,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",IBIS Bangalore Hosur Road,12.9008461,77.6320444,16,"00:00:00","23:59:59",0.0,,Electric City Hosur Road,"",Karnataka,India,"560068",Bangalore,APPROVED,Next To The Oxford College,,,10,10,1,"2024-05-22 01:55:08",,,,,1,885.0,0,,,,,,,,
5511,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",FALCON FOOTBALL ACADEMY HSR,12.902639,77.643062,16,"00:00:00","23:59:59",0.0,,"Sector 7, HSR Layout","",Karnataka,India,"560102",Bangalore,APPROVED,"Mangammanapalya Main Rd, ITI Layout",,,10,10,1,"2024-05-22 01:55:09",,,,,1,918.7,0,,,,,,,,
5512,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Pratham Motors Kudlu,12.8938405,77.6489587,16,"00:00:00","23:59:59",0.0,," Sarjapur Hobli, Anekal, Taluk","",Karnataka,India,"560068",Bangalore,APPROVED,"#58/5 Kudlu Village, Next To Zee School",,,10,10,1,"2024-05-22 01:55:24",,,,,1,911.0,0,,,,,,,,
5513,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","PPS Motors Citroen, Hosur Road",12.8630327,77.6592566,16,"00:00:00","23:59:59",0.0,,Hosur Rd,"",Karnataka,India,"560100",Bangalore,APPROVED,"La Maison Citroën, No 62-4, Beratena, Agrahara Village Hobli",,,10,10,1,"2024-05-22 01:55:24",,,,,1,921.0,0,,,,,,,,
5514,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Electronic City-2,",12.8644114,77.6727247,16,"00:00:00","23:59:59",0.0,,Lake Rd,"",Karnataka,India,"560099",Bangalore,APPROVED,Rayasandra,,,10,10,1,"2024-05-22 01:55:24",,,,,1,928.477,0,,,,,,,,
5515,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Electronic City Phase 1,12.827386,77.655583,16,"00:00:00","23:59:59",0.0,,Bommasandra,"",Karnataka,India,"560100",Bangalore,APPROVED,Maragondanahalli,,,10,10,1,"2024-05-22 01:55:38",,,,,1,941.191,0,,,,,,,,
5516,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Gottigere Hub,12.858696,77.587313,16,"00:00:00","23:59:59",0.0,,Gottigere,"",Karnataka,India,"560083",Bangalore,APPROVED,"Vidyasagar Layout, Gundappa Layout",,,10,10,1,"2024-05-22 01:55:48",,,,,1,947.708,0,,,,,,,,
5517,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",IBIS Bangalore City Centre,12.9676225,77.5939177,16,"00:00:00","23:59:59",0.0,,Off Richmond Road,"",Karnataka,India,"560027",Bangalore,APPROVED,Opposite Mallya Hospital/ Kanteerava Stadium,,,10,10,1,"2024-05-22 01:56:00",,,,,1,928.545,0,,,,,,,,
5518,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Nexus Forum mall, Kormangala",12.9347697,77.611527,16,"00:00:00","23:59:59",0.0,,"Nexus Forum mall, Kormangala","",Karnataka,India,"560095",Bangalore,APPROVED,"The Forum Mall, Hosur Road, Chikku Lakshmaiah Layout, Koramangala",,,10,10,1,"2024-05-22 01:56:00",,,,,1,905.0,0,,,,,,,,
5519,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Fiza by Nexus Mall,12.8576466,74.8382092,16,"00:00:00","23:59:59",0.0,,Mangaladevi Temple Rd,"",Karnataka,India,"560027",Mangalore,APPROVED,"Prestige Mangalore Retail Ventures C/O Forum Fiza Mall,",,,10,10,1,"2024-05-22 01:56:00",,,,,1,37.721,0,,,,,,,,
5520,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Hotel Sagar Residency, Honnavar",14.2900286,74.4627785,16,"00:00:00","23:59:59",0.0,,Bengaluru - Honnavar Road,"",Karnataka,India,"581334",Mangalore,APPROVED,Hotel Sagar Residency,,,10,10,1,"2024-05-22 01:56:01",,,,,1,83.858,0,,,,,,,,
5521,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Jio-bp Mobility Station, Kadood",14.572524,75.69021,16,"00:00:00","23:59:59",0.0,,"NH4, Dist. Haveri","",Karnataka,India,"577113",Kamadod,APPROVED,"io-bp mobility station, Davangere Truck Stop",,,10,10,1,"2024-05-22 01:56:01",,,,,1,602.529,0,,,,,,,,
5522,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Royal Orchid,15.3202439,73.901697,16,"00:00:00","23:59:59",0.0,,Utorda,"",Goa,India,"403713",Utorda,APPROVED,Utorda Beach Rd,,,10,10,1,"2024-05-22 01:56:02",,,,,1,14.957,0,,,,,,,,
5523,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","1930 Vasco Mall, Goa",15.3972639,73.8129482,16,"00:00:00","23:59:59",0.0,,Vaddem,"",Goa,India,"403802",Vasco Da Gama,APPROVED,"Swatantra Path, Opp. The HQ",,,10,10,1,"2024-05-22 01:56:02",,,,,1,22.919,0,,,,,,,,
5524,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Regenta Central Imperial, Calangute",15.528936,73.7646532,16,"00:00:00","23:59:59",0.0,,Saligao ,"",Goa,India,"403516",Saligao,APPROVED,Nagoa Borders,,,10,10,1,"2024-05-22 01:56:02",,,,,1,35.037,0,,,,,,,,
5525,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Regenta Central North Goa,15.5573245,73.7802104,16,"00:00:00","23:59:59",0.0,,Near Jambleshwar Temple,"",Goa,India,"403516",Candolim,APPROVED,"168/13, Ground Floor, Anna Vaddo Rd",,,10,10,1,"2024-05-22 01:56:03",,,,,1,33.222,0,,,,,,,,
5526,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Jio-bp Mobility Station, Chikalagudda",16.192958,74.51791,16,"00:00:00","23:59:59",0.0,,Hukkeri Taluk,"",Karnataka,India,"591312",Belgaum,APPROVED,Chikalagudda Village,,,10,10,1,"2024-05-22 01:56:03",,,,,1,667.005,0,,,,,,,,
5527,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Jio-bp Mobility Station, illakal",15.989139,76.099917,16,"00:00:00","23:59:59",0.0,,"Tondihal Village, Hunagund, Taluka","",Karnataka,India,"587125",Bagalkot,APPROVED,"Jio-bp mobility station, NH 13",,,10,10,1,"2024-05-22 01:56:03",,,,,1,587.788,0,,,,,,,,
5528,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Accord Pondicherry,11.9414061,79.8050912,16,"00:00:00","23:59:59",0.0,,Aruthra Nagar,"",Tamil Nadu,India,"605009",Puducherry,APPROVED,"1, Thilagar Nagar, Ellaipillaichavady",,,10,10,1,"2024-05-22 01:56:03",,,,,1,8.0,0,,,,,,,,
5529,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Jio-bp Mobility Station, Vellore",12.9007849,79.4483516,16,"00:00:00","23:59:59",0.0,,Sipcot Phase II Industrial Complex,"",Tamil Nadu,India,"632403",Ranipet,APPROVED,"PLOT NO.16-22 & 39-43, COMMERCIAL PLOTS",,,10,10,1,"2024-05-22 01:56:04",,,,,1,146.9,0,,,,,,,,
5530,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Jio-bp Mobility Station, Sriperambadur",12.8972024,79.8063078,16,"00:00:00","23:59:59",0.0,,Near Sunguvarchatram,"",Tamil Nadu,India,"631561",Sriperumbadur,APPROVED,"Jio-bp Mobility Station, Neervalur",,,10,10,1,"2024-05-22 01:56:04",,,,,1,82.007,0,,,,,,,,
5531,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Kaldan Samudra,12.6460772,80.2022002,16,"00:00:00","23:59:59",0.0,,"Devaneri, Mahabalipuram","",Tamil Nadu,India,"603103",Chennai,APPROVED,"16/3B1B, East Coast Rd",,,10,10,1,"2024-05-22 01:56:04",,,,,1,25.865,0,,,,,,,,
5532,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",IBIS SIPCOT,12.8323852,80.2311259,16,"00:00:00","23:59:59",0.0,,"Old Mahabalipuram Road, Opp. Sipcot It Park","",Tamil Nadu,India,"603103",Chennai,APPROVED,Ibis Chennai Sipcot,,,10,10,1,"2024-05-22 01:56:05",,,,,1,14.59,0,,,,,,,,
5533,Jio-BP Pulse Charging station,PRIVATE,evsupport.rbml@jiobp.com,"18008919026",Featherlite  Pallavaram Chennai,12.9531608,80.1633812,16,"00:00:00","23:59:59",0.0,,Zamin Pallavaram,"",Tamil Nadu,India,"600043",Chennai,APPROVED,"Sy. No.  203/10B, 200 Feet IMRD Road",,,10,10,1,"2024-05-22 01:56:05",,,,,1,11.0,0,,,,,,,,
5534,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Nexus Vijaya Mall, Vadapalani",13.0499,80.2095,16,"00:00:00","23:59:59",0.0,,"Great Southern Trunk Rd, Arcot Rd, Vadapalani","",Tamil Nadu,India,"600044",Chennai,APPROVED,"Nexus Vijaya Mall, 183",,,10,10,1,"2024-05-22 01:56:05",,,,,1,19.0,0,,,,,,,,
5535,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Accord Metropolitan,13.0465794,80.2425161,16,"00:00:00","23:59:59",0.0,,"35, Gopathi Narayanaswami Chetty Rd, Lakshimi Colony, T. Nagar","",Tamil Nadu,India,"600026",Chennai,APPROVED,Just 2 Kms Away From US Embassy,,,10,10,1,"2024-05-22 01:56:06",,,,,1,12.0,0,,,,,,,,
5536,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Citroen Vijayawada,16.5154808,80.7050065,16,"00:00:00","23:59:59",0.0,,Enikepadu,"",Andhra Pradesh,India,"521108",Enikepadu,APPROVED,"GP74+W36, Enikepadu Vijayawada",,,10,10,1,"2024-05-22 01:56:06",,,,,1,37.087,0,,,,,,,,
5537,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Seven Food Court 1,17.1508103,79.5771824,16,"00:00:00","23:59:59",0.0,,Pillala Marri Rural Telangana,"",Telangana,India,"508213",Suryapet,APPROVED,Hyderabad-Vijayawada Why,,,10,10,1,"2024-05-22 01:56:06",,,,,1,182.297,0,,,,,,,,
5538,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Seven Food Court,17.2316054,79.0993898,16,"00:00:00","23:59:59",0.0,,Paddakaparthy,"",Telangana,India,"508114",Chityala,APPROVED,"Sy No 257/E&257/AA,NH65",,,10,10,1,"2024-05-22 01:56:07",,,,,1,354.231,0,,,,,,,,
5539,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Sankalp Hotel,17.5300368,78.9281161,16,"00:00:00","23:59:59",0.0,,Raigiri,"",Telangana,India,"508116",Hyderabad,APPROVED,Warangal Hwy Road,,,10,10,1,"2024-05-22 01:56:07",,,,,1,439.091,0,,,,,,,,
